corpus,system,qid,category,answerable,gen,ret,overall,llm_calls,slm_calls,gen_cost,expected_pages,retrieved_top6_pages,page_hit_top6
bash,simple,bash-001,concept,True,3.0,2.75,2.875,1,0,0.0085,[82],"[16, 80, 80, 66, 16, 103]",0
bash,simple,bash-002,lookup,True,2.0,2.75,2.375,1,0,0.00536,[54],"[54, 54, 54, 55, 125, 16]",1
bash,simple,bash-003,lookup,True,3.2,1.25,2.225,1,0,0.00612,[30],"[16, 80, 54, 16, 16, 26]",0
bash,simple,bash-004,lookup,True,5.0,5.0,5.0,1,0,0.0063,[103],"[103, 104, 31, 30, 30, 29]",1
bash,simple,bash-005,lookup,True,5.0,5.0,5.0,1,0,0.00589,[116],"[116, 116, 117, 29, 70, 118]",1
bash,simple,bash-006,concept,True,3.6,2.25,2.925,1,0,0.00588,[12],"[12, 13, 12, 177, 13, 43]",1
bash,simple,bash-007,concept,True,4.2,4.5,4.35,1,0,0.00831,[84],"[84, 84, 195, 85, 107, 186]",1
bash,simple,bash-008,concept,True,3.0,4.25,3.625,1,0,0.01046,[65],"[196, 126, 196, 65, 66, 127]",1
bash,simple,bash-009,lookup,True,4.0,4.25,4.125,1,0,0.00731,[117],"[38, 35, 39, 41, 117, 30]",1
bash,simple,bash-010,lookup,True,5.0,5.0,5.0,1,0,0.01151,[35],"[37, 38, 35, 39, 36, 38]",1
bash,simple,bash-011,concept,True,4.4,3.5,3.95,1,0,0.00901,[34],"[35, 34, 39, 29, 38, 179]",1
bash,simple,bash-012,lookup,True,2.2,3.5,2.85,1,0,0.00723,[42],"[42, 42, 43, 179, 17, 15]",1
bash,simple,bash-013,concept,True,5.0,5.0,5.0,1,0,0.00865,[43],"[44, 42, 42, 43, 39, 193]",1
bash,simple,bash-014,concept,True,5.0,5.0,5.0,1,0,0.00854,[27],"[27, 27, 73, 26, 194, 195]",1
bash,simple,bash-016,concept,True,1.4,1.5,1.45,1,0,0.0071,[50],"[50, 50, 4, 41, 155, 35]",1
bash,simple,bash-015,lookup,True,3.6,3.5,3.55,1,0,0.00678,[76],"[77, 76, 195, 145, 105, 103]",1
bash,simple,bash-018,concept,True,4.2,4.5,4.35,1,0,0.00775,[31],"[31, 32, 31, 32, 33, 31]",1
bash,simple,bash-017,lookup,True,3.6,4.5,4.05,1,0,0.009,[49],"[49, 49, 48, 48, 51, 16]",1
bash,simple,bash-019,concept,True,5.0,5.0,5.0,1,0,0.00973,[33],"[32, 33, 32, 32, 31, 123]",1
bash,simple,bash-020,concept,True,4.0,4.5,4.25,1,0,0.01051,[61],"[61, 62, 61, 84, 92, 84]",1
bash,simple,bash-021,concept,True,3.0,3.0,3.0,1,0,0.00917,[92],"[44, 193, 95, 209, 142, 144]",0
bash,simple,bash-022,concept,True,2.4,1.75,2.075,1,0,0.00875,[80],"[80, 83, 167, 206, 140, 53]",1
bash,simple,bash-023,lookup,True,2.6,3.75,3.175,1,0,0.00826,[18],"[18, 18, 114, 116, 192, 192]",1
bash,simple,bash-024,concept,True,1.6,1.0,1.3,1,0,0.00903,[20],"[17, 20, 117, 17, 3, 168]",1
bash,simple,bash-026,concept,True,5.0,5.0,5.0,1,0,0.01059,[134],"[134, 55, 196, 25, 134, 7]",1
bash,simple,bash-027,lookup,True,5.0,5.0,5.0,1,0,0.00659,[92],"[59, 172, 171, 85, 125, 92]",1
bash,simple,bash-028,concept,True,2.8,4.5,3.65,1,0,0.00752,[66],"[66, 196, 72, 66, 79, 83]",1
bash,simple,bash-025,concept,True,2.2,2.25,2.225,1,0,0.01077,[75],"[75, 195, 126, 74, 194, 58]",1
bash,simple,bash-neg-01,negative_cross_doc,False,5.0,2.0,3.5,1,0,0.00751,[],"[25, 77, 112, 208, 123, 186]",
bash,simple,bash-029,concept,True,5.0,5.0,5.0,1,0,0.0082,[67],"[115, 115, 115, 115, 194, 67]",1
bash,simple,bash-030,concept,True,2.2,1.25,1.725,1,0,0.00769,[60],"[121, 7, 206, 52, 59, 196]",0
bash,simple,bash-neg-03,negative_cross_doc,False,5.0,2.0,3.5,1,0,0.00698,[],"[62, 62, 112, 51, 50, 48]",
bash,simple,bash-neg-02,negative_cross_doc,False,5.0,2.25,3.625,1,0,0.00744,[],"[70, 149, 150, 102, 95, 50]",
bash,simple,bash-neg-05,negative_out_of_scope,False,5.0,2.0,3.5,1,0,0.00584,[],"[47, 183, 139, 48, 14, 138]",
bash,simple,bash-neg-06,negative_out_of_scope,False,5.0,2.0,3.5,1,0,0.00939,[],"[99, 105, 99, 206, 209, 209]",
bash,simple,bash-neg-04,negative_cross_doc,False,2.0,1.5,1.75,1,0,0.00765,[],"[39, 90, 42, 44, 25, 28]",
bash,simple,bash-neg-07,negative_out_of_scope,False,5.0,2.0,3.5,1,0,0.00662,[],"[56, 14, 69, 19, 57, 184]",
bash,reranked_simple,bash-001,concept,True,3.8,3.0,3.4,1,0,0.00626,[82],"[16, 16, 80, 66, 197]",0
bash,reranked_simple,bash-002,lookup,True,2.0,2.5,2.25,1,0,0.006,[54],"[54, 54, 54, 96, 55]",1
bash,reranked_simple,bash-003,lookup,True,3.8,3.5,3.65,1,0,0.00474,[30],"[16, 54, 80, 26, 16]",0
bash,reranked_simple,bash-004,lookup,True,5.0,5.0,5.0,1,0,0.00554,[103],"[30, 30, 103, 104, 31]",1
bash,reranked_simple,bash-007,concept,True,5.0,5.0,5.0,1,0,0.00613,[84],"[84, 195, 107, 85, 111]",1
bash,reranked_simple,bash-006,concept,True,3.4,2.5,2.95,1,0,0.00611,[12],"[12, 12, 12, 40, 13]",1
bash,reranked_simple,bash-008,concept,True,2.2,2.0,2.1,1,0,0.00912,[65],"[126, 196, 196, 126, 26]",0
bash,reranked_simple,bash-005,lookup,True,4.4,4.5,4.45,1,0,0.00563,[116],"[116, 117, 116, 118, 29]",1
bash,reranked_simple,bash-009,lookup,True,5.0,4.75,4.875,1,0,0.00641,[117],"[38, 33, 30, 117, 39]",1
bash,reranked_simple,bash-011,concept,True,3.2,2.25,2.725,1,0,0.00652,[34],"[35, 38, 39, 30, 33]",0
bash,reranked_simple,bash-010,lookup,True,4.2,4.5,4.35,1,0,0.0092,[35],"[35, 192, 38, 34, 39]",1
bash,reranked_simple,bash-013,concept,True,4.8,4.5,4.65,1,0,0.00734,[43],"[43, 44, 193, 42, 193]",1
bash,reranked_simple,bash-012,lookup,True,1.8,4.5,3.15,1,0,0.00761,[42],"[42, 43, 165, 44, 34]",1
bash,reranked_simple,bash-015,lookup,True,5.0,5.0,5.0,1,0,0.00636,[76],"[105, 195, 77, 145, 76]",1
bash,reranked_simple,bash-014,concept,True,5.0,5.0,5.0,1,0,0.00783,[27],"[73, 27, 74, 27, 194]",1
bash,reranked_simple,bash-016,concept,True,1.4,1.5,1.45,1,0,0.00541,[50],"[50, 50, 117, 41, 74]",1
bash,reranked_simple,bash-017,lookup,True,4.4,4.5,4.45,1,0,0.00768,[49],"[49, 16, 49, 48, 51]",1
bash,reranked_simple,bash-018,concept,True,4.2,4.5,4.35,1,0,0.00699,[31],"[31, 31, 32, 32, 33]",1
bash,reranked_simple,bash-020,concept,True,3.4,3.75,3.575,1,0,0.00928,[61],"[61, 61, 62, 92, 93]",1
bash,reranked_simple,bash-019,concept,True,4.2,4.5,4.35,1,0,0.00875,[33],"[123, 32, 32, 32, 31]",0
bash,reranked_simple,bash-021,concept,True,5.0,4.5,4.75,1,0,0.00763,[92],"[92, 44, 169, 142, 70]",1
bash,reranked_simple,bash-023,lookup,True,2.6,2.75,2.675,1,0,0.00601,[18],"[18, 191, 192, 17, 192]",1
bash,reranked_simple,bash-022,concept,True,2.0,1.5,1.75,1,0,0.00952,[80],"[53, 125, 83, 164, 80]",1
bash,reranked_simple,bash-024,concept,True,5.0,2.0,3.5,1,0,0.00475,[20],"[17, 26, 26, 11, 115]",0
bash,reranked_simple,bash-026,concept,True,2.2,2.25,2.225,1,0,0.00853,[134],"[55, 196, 132, 25, 7]",0
bash,reranked_simple,bash-027,lookup,True,5.0,5.0,5.0,1,0,0.00662,[92],"[92, 59, 172, 171, 171]",1
bash,reranked_simple,bash-025,concept,True,2.2,2.25,2.225,1,0,0.00883,[75],"[126, 75, 195, 126, 58]",1
bash,reranked_simple,bash-028,concept,True,3.8,4.5,4.15,1,0,0.00588,[66],"[196, 80, 66, 84, 195]",1
bash,reranked_simple,bash-029,concept,True,3.4,4.5,3.95,1,0,0.00735,[67],"[67, 115, 115, 93, 87]",1
bash,reranked_simple,bash-neg-03,negative_cross_doc,False,5.0,2.0,3.5,1,0,0.00671,[],"[112, 4, 174, 58, 51]",
bash,reranked_simple,bash-neg-01,negative_cross_doc,False,5.0,2.0,3.5,1,0,0.00928,[],"[206, 208, 209, 214, 112]",
bash,reranked_simple,bash-neg-02,negative_cross_doc,False,4.8,2.25,3.525,1,0,0.00691,[],"[29, 97, 95, 95, 150]",
bash,reranked_simple,bash-030,concept,True,1.8,1.75,1.775,1,0,0.00782,[60],"[195, 121, 7, 60, 58]",1
bash,reranked_simple,bash-neg-06,negative_out_of_scope,False,5.0,2.0,3.5,1,0,0.00659,[],"[16, 105, 16, 206, 75]",
bash,reranked_simple,bash-neg-05,negative_out_of_scope,False,5.0,2.0,3.5,1,0,0.00512,[],"[182, 183, 181, 181, 99]",
bash,reranked_simple,bash-neg-04,negative_cross_doc,False,2.0,1.75,1.875,1,0,0.00744,[],"[39, 90, 26, 25, 194]",
bash,reranked_simple,bash-neg-07,negative_out_of_scope,False,5.0,2.0,3.5,1,0,0.00694,[],"[6, 182, 184, 56, 19]",
bash,agentic,bash-001,concept,True,3.8,3.5,3.65,7,0,0.03471,[82],"[16, 80, 80, 66, 16, 103]",0
bash,agentic,bash-002,lookup,True,2.6,3.0,2.8,3,0,0.01501,[54],"[54, 54, 54, 55, 125, 16]",1
bash,agentic,bash-003,lookup,True,2.8,2.25,2.525,3,0,0.01667,[30],"[16, 80, 54, 16, 16, 26]",0
bash,agentic,bash-005,lookup,True,5.0,5.0,5.0,3,0,0.01349,[116],"[116, 116, 117, 29, 70, 118]",1
bash,agentic,bash-004,lookup,True,5.0,5.0,5.0,3,0,0.01704,[103],"[103, 104, 31, 30, 30, 29]",1
bash,agentic,bash-006,concept,True,3.6,2.25,2.925,3,0,0.01977,[12],"[12, 13, 12, 177, 13, 43]",1
bash,agentic,bash-007,concept,True,4.2,5.0,4.6,3,0,0.01702,[84],"[84, 84, 195, 85, 107, 186]",1
bash,agentic,bash-008,concept,True,2.2,4.5,3.35,3,0,0.02197,[65],"[196, 126, 196, 65, 66, 127]",1
bash,agentic,bash-012,lookup,True,2.2,2.75,2.475,3,0,0.01775,[42],"[42, 42, 43, 179, 17, 15]",1
bash,agentic,bash-010,lookup,True,5.0,5.0,5.0,3,0,0.02659,[35],"[37, 38, 35, 39, 36, 38]",1
bash,agentic,bash-011,concept,True,4.4,3.25,3.825,3,0,0.01833,[34],"[35, 34, 39, 29, 38, 179]",1
bash,agentic,bash-009,lookup,True,5.0,4.75,4.875,7,0,0.04107,[117],"[38, 35, 39, 41, 117, 30]",1
bash,agentic,bash-013,concept,True,5.0,5.0,5.0,3,0,0.01879,[43],"[44, 42, 42, 43, 39, 193]",1
bash,agentic,bash-016,concept,True,1.6,1.5,1.55,3,0,0.01863,[50],"[50, 50, 4, 41, 155, 35]",1
bash,agentic,bash-014,concept,True,5.0,5.0,5.0,3,0,0.01816,[27],"[27, 27, 73, 26, 194, 195]",1
bash,agentic,bash-015,lookup,True,5.0,5.0,5.0,3,0,0.01849,[76],"[77, 76, 195, 145, 105, 103]",1
bash,agentic,bash-017,lookup,True,4.8,5.0,4.9,3,0,0.0196,[49],"[49, 49, 48, 48, 51, 16]",1
bash,agentic,bash-018,concept,True,4.4,5.0,4.7,5,0,0.02327,[31],"[31, 32, 31, 32, 33, 31]",1
bash,agentic,bash-019,concept,True,5.0,5.0,5.0,3,0,0.02095,[33],"[32, 33, 32, 32, 31, 123]",1
bash,agentic,bash-021,concept,True,2.6,2.5,2.55,3,0,0.02379,[92],"[44, 193, 95, 209, 142, 144]",0
bash,agentic,bash-020,concept,True,2.8,4.5,3.65,3,0,0.02225,[61],"[61, 62, 61, 84, 92, 84]",1
bash,agentic,bash-023,lookup,True,2.6,3.75,3.175,3,0,0.0196,[18],"[18, 18, 114, 116, 192, 192]",1
bash,agentic,bash-025,concept,True,1.8,1.5,1.65,3,0,0.02242,[75],"[75, 195, 126, 74, 194, 58]",1
bash,agentic,bash-026,concept,True,5.0,5.0,5.0,3,0,0.02203,[134],"[134, 55, 196, 25, 134, 7]",1
bash,agentic,bash-022,concept,True,2.8,1.5,2.15,7,0,0.04442,[80],"[80, 83, 167, 206, 140, 53]",1
bash,agentic,bash-024,concept,True,3.8,2.25,3.025,5,0,0.03213,[20],"[17, 20, 117, 17, 3, 168]",1
bash,agentic,bash-027,lookup,True,5.0,5.0,5.0,3,0,0.01761,[92],"[59, 172, 171, 85, 125, 92]",1
bash,agentic,bash-028,concept,True,2.8,4.5,3.65,3,0,0.01992,[66],"[66, 196, 72, 66, 79, 83]",1
bash,agentic,bash-029,concept,True,5.0,5.0,5.0,3,0,0.02104,[67],"[115, 115, 115, 115, 194, 67]",1
bash,agentic,bash-neg-01,negative_cross_doc,False,5.0,2.0,3.5,7,0,0.03582,[],"[25, 77, 112, 208, 123, 186]",
bash,agentic,bash-neg-02,negative_cross_doc,False,5.0,2.0,3.5,7,0,0.03361,[],"[70, 149, 150, 102, 95, 50]",
bash,agentic,bash-030,concept,True,2.2,1.5,1.85,7,0,0.04377,[60],"[121, 7, 206, 52, 59, 196]",0
bash,agentic,bash-neg-03,negative_cross_doc,False,5.0,2.0,3.5,7,0,0.03474,[],"[62, 62, 112, 51, 50, 48]",
bash,agentic,bash-neg-04,negative_cross_doc,False,2.0,1.75,1.875,7,0,0.03224,[],"[39, 90, 42, 44, 25, 28]",
bash,agentic,bash-neg-05,negative_out_of_scope,False,5.0,2.0,3.5,7,0,0.03325,[],"[47, 183, 139, 48, 14, 138]",
bash,agentic,bash-neg-06,negative_out_of_scope,False,5.0,2.0,3.5,7,0,0.0472,[],"[99, 105, 99, 206, 209, 209]",
bash,agentic,bash-neg-07,negative_out_of_scope,False,5.0,2.0,3.5,7,0,0.03329,[],"[56, 14, 69, 19, 57, 184]",
bash,self_rag,bash-001,concept,True,3.8,3.0,3.4,4,0,0.00921,[82],[16],0
bash,self_rag,bash-002,lookup,True,4.6,1.0,2.8,3,0,0.00334,[54],[],0
bash,self_rag,bash-003,lookup,True,3.2,1.0,2.1,3,0,0.0028,[30],[],0
bash,self_rag,bash-004,lookup,True,4.8,5.0,4.9,4,0,0.00822,[103],[103],1
bash,self_rag,bash-006,concept,True,3.4,1.0,2.2,3,0,0.00308,[12],[],0
bash,self_rag,bash-005,lookup,True,3.2,1.0,2.1,3,0,0.00315,[116],[],0
bash,self_rag,bash-007,concept,True,5.0,5.0,5.0,4,0,0.01824,[84],"[84, 195, 85, 107, 93]",1
bash,self_rag,bash-008,concept,True,5.0,5.0,5.0,4,0,0.02281,[65],"[196, 126, 196, 65, 66]",1
bash,self_rag,bash-011,concept,True,2.8,2.0,2.4,3,0,0.0027,[34],[],0
bash,self_rag,bash-010,lookup,True,2.2,1.0,1.6,3,0,0.00379,[35],[],0
bash,self_rag,bash-012,lookup,True,3.4,1.0,2.2,3,0,0.00238,[42],[],0
bash,self_rag,bash-009,lookup,True,3.4,4.0,3.7,4,0,0.01883,[117],"[38, 35, 39, 41, 117]",1
bash,self_rag,bash-013,concept,True,2.8,1.0,1.9,3,0,0.00233,[43],[],0
bash,self_rag,bash-014,concept,True,3.4,1.0,2.2,3,0,0.00311,[27],[],0
bash,self_rag,bash-015,lookup,True,4.8,4.5,4.65,4,0,0.01828,[76],"[77, 76, 195, 145, 105]",1
bash,self_rag,bash-017,lookup,True,3.0,1.0,2.0,3,0,0.00464,[49],[],0
bash,self_rag,bash-016,concept,True,1.6,1.5,1.55,4,0,0.01945,[50],"[50, 50, 4, 41, 155]",1
bash,self_rag,bash-018,concept,True,3.8,5.0,4.4,4,0,0.01974,[31],"[31, 32, 31, 32, 33]",1
bash,self_rag,bash-019,concept,True,5.0,5.0,5.0,4,0,0.02126,[33],"[33, 32, 32, 31, 21]",1
bash,self_rag,bash-022,concept,True,3.4,1.0,2.2,3,0,0.00322,[80],[],0
bash,self_rag,bash-021,concept,True,3.6,3.0,3.3,4,0,0.01103,[92],[44],0
bash,self_rag,bash-020,concept,True,2.6,4.5,3.55,4,0,0.02349,[61],"[61, 62, 61, 84, 92]",1
bash,self_rag,bash-023,lookup,True,2.8,1.0,1.9,3,0,0.00228,[18],[],0
bash,self_rag,bash-025,concept,True,2.8,1.0,1.9,3,0,0.00242,[75],[],0
bash,self_rag,bash-027,lookup,True,3.2,1.0,2.1,3,0,0.00222,[92],[],0
bash,self_rag,bash-024,concept,True,1.8,1.0,1.4,4,0,0.02153,[20],"[17, 20, 117, 17, 3]",1
bash,self_rag,bash-026,concept,True,5.0,5.0,5.0,4,0,0.01984,[134],"[134, 55, 134, 196]",1
bash,self_rag,bash-028,concept,True,2.4,3.5,2.95,4,0,0.01939,[66],"[66, 196, 72, 66, 79]",1
bash,self_rag,bash-029,concept,True,4.2,5.0,4.6,4,0,0.01493,[67],"[115, 115, 67]",1
bash,self_rag,bash-030,concept,True,2.8,1.0,1.9,3,0,0.00229,[60],[],0
bash,self_rag,bash-neg-01,negative_cross_doc,False,5.0,2.0,3.5,4,0,0.02009,[],"[25, 77, 112, 208, 123]",
bash,self_rag,bash-neg-02,negative_cross_doc,False,5.0,2.25,3.625,4,0,0.01805,[],"[70, 149, 150, 102, 95]",
bash,self_rag,bash-neg-03,negative_cross_doc,False,5.0,5.0,5.0,3,0,0.00329,[],[],
bash,self_rag,bash-neg-05,negative_out_of_scope,False,5.0,5.0,5.0,3,0,0.00265,[],[],
bash,self_rag,bash-neg-04,negative_cross_doc,False,2.0,1.75,1.875,4,0,0.01793,[],"[39, 90, 42, 44, 25]",
bash,self_rag,bash-neg-06,negative_out_of_scope,False,5.0,5.0,5.0,3,0,0.00236,[],[],
bash,self_rag,bash-neg-07,negative_out_of_scope,False,5.0,5.0,5.0,3,0,0.00288,[],[],
bash,flare,bash-001,concept,True,3.8,3.25,3.525,3,0,0.01251,[82],"[16, 80, 66, 80, 16, 16]",0
bash,flare,bash-002,lookup,True,2.0,2.25,2.125,3,0,0.00963,[54],"[54, 54, 54, 55, 125, 111]",1
bash,flare,bash-003,lookup,True,2.6,2.75,2.675,3,0,0.009,[30],"[54, 54, 16, 54, 16, 55]",0
bash,flare,bash-005,lookup,True,5.0,5.0,5.0,3,0,0.0103,[116],"[116, 116, 117, 29, 118, 70]",1
bash,flare,bash-004,lookup,True,5.0,5.0,5.0,3,0,0.01179,[103],"[103, 104, 104, 193, 29, 104]",1
bash,flare,bash-006,concept,True,3.0,3.0,3.0,3,0,0.01097,[12],"[13, 12, 12, 13, 177, 43]",1
bash,flare,bash-007,concept,True,4.2,4.5,4.35,3,0,0.01235,[84],"[84, 84, 85, 195, 107, 186]",1
bash,flare,bash-008,concept,True,5.0,5.0,5.0,3,0,0.01599,[65],"[196, 65, 126, 66, 196, 127]",1
bash,flare,bash-009,lookup,True,2.8,5.0,3.9,3,0,0.0124,[117],"[117, 38, 192, 35, 39, 37]",1
bash,flare,bash-010,lookup,True,5.0,5.0,5.0,3,0,0.01559,[35],"[37, 192, 36, 35, 38, 39]",1
bash,flare,bash-011,concept,True,5.0,5.0,5.0,3,0,0.01424,[34],"[34, 35, 39, 35, 38, 108]",1
bash,flare,bash-012,lookup,True,2.2,3.25,2.725,3,0,0.01435,[42],"[42, 42, 43, 179, 17, 65]",1
bash,flare,bash-013,concept,True,5.0,5.0,5.0,3,0,0.01361,[43],"[44, 42, 42, 193, 43, 193]",1
bash,flare,bash-015,lookup,True,5.0,5.0,5.0,3,0,0.01072,[76],"[77, 76, 195, 105, 145, 105]",1
bash,flare,bash-014,concept,True,5.0,5.0,5.0,3,0,0.01409,[27],"[27, 73, 27, 74, 27, 194]",1
bash,flare,bash-016,concept,True,1.4,1.5,1.45,3,0,0.01243,[50],"[50, 50, 4, 110, 57, 28]",1
bash,flare,bash-018,concept,True,5.0,5.0,5.0,3,0,0.01355,[31],"[31, 32, 31, 33, 32, 31]",1
bash,flare,bash-017,lookup,True,4.2,4.75,4.475,3,0,0.01346,[49],"[49, 49, 48, 48, 16, 51]",1
bash,flare,bash-020,concept,True,5.0,5.0,5.0,3,0,0.01604,[61],"[61, 62, 61, 92, 84, 84]",1
bash,flare,bash-019,concept,True,5.0,5.0,5.0,3,0,0.01441,[33],"[33, 32, 32, 32, 31, 123]",1
bash,flare,bash-023,lookup,True,3.0,4.25,3.625,3,0,0.01348,[18],"[18, 18, 24, 42, 25, 114]",1
bash,flare,bash-021,concept,True,5.0,4.25,4.625,3,0,0.01509,[92],"[44, 193, 44, 44, 92, 76]",1
bash,flare,bash-022,concept,True,4.6,4.5,4.55,3,0,0.01407,[80],"[80, 111, 125, 80, 60, 54]",1
bash,flare,bash-025,concept,True,4.8,4.5,4.65,3,0,0.01586,[75],"[75, 195, 74, 126, 28, 59]",1
bash,flare,bash-024,concept,True,4.0,3.5,3.75,3,0,0.01641,[20],"[20, 117, 17, 17, 3, 20]",1
bash,flare,bash-027,lookup,True,5.0,5.0,5.0,3,0,0.01186,[92],"[59, 92, 172, 85, 125, 171]",1
bash,flare,bash-028,concept,True,2.4,3.5,2.95,3,0,0.01254,[66],"[66, 196, 72, 83, 123, 66]",1
bash,flare,bash-026,concept,True,3.8,4.5,4.15,3,0,0.01591,[134],"[134, 55, 25, 127, 56, 16]",1
bash,flare,bash-neg-01,negative_cross_doc,False,5.0,2.0,3.5,3,0,0.01166,[],"[123, 125, 77, 196, 112, 183]",
bash,flare,bash-029,concept,True,5.0,5.0,5.0,3,0,0.01323,[67],"[115, 115, 115, 67, 194, 115]",1
bash,flare,bash-neg-02,negative_cross_doc,False,5.0,2.25,3.625,3,0,0.01103,[],"[48, 50, 149, 70, 33, 95]",
bash,flare,bash-neg-03,negative_cross_doc,False,5.0,2.0,3.5,3,0,0.01178,[],"[62, 62, 112, 50, 175, 43]",
bash,flare,bash-030,concept,True,4.2,3.5,3.85,3,0,0.01528,[60],"[121, 7, 52, 60, 60, 11]",1
bash,flare,bash-neg-06,negative_out_of_scope,False,5.0,2.0,3.5,3,0,0.01368,[],"[99, 105, 16, 104, 105, 4]",
bash,flare,bash-neg-05,negative_out_of_scope,False,5.0,2.0,3.5,3,0,0.01269,[],"[47, 183, 181, 138, 139, 99]",
bash,flare,bash-neg-07,negative_out_of_scope,False,5.0,2.0,3.5,3,0,0.01157,[],"[14, 184, 181, 69, 57, 56]",
bash,flare,bash-neg-04,negative_cross_doc,False,2.0,1.75,1.875,3,0,0.01294,[],"[39, 90, 42, 44, 39, 45]",
bash,ear_full,bash-001,concept,True,3.2,2.75,2.975,1,6,0.00747,[82],"[16, 80, 80, 66, 16]",0
bash,ear_full,bash-002,lookup,True,2.0,2.25,2.125,1,6,0.00618,[54],"[54, 54, 54, 55, 125]",1
bash,ear_full,bash-003,lookup,True,3.2,1.25,2.225,1,6,0.00582,[30],"[16, 80, 54, 16, 16]",0
bash,ear_full,bash-004,lookup,True,5.0,5.0,5.0,1,6,0.00563,[103],"[103, 104, 31, 30, 30]",1
bash,ear_full,bash-005,lookup,True,5.0,5.0,5.0,1,6,0.00523,[116],"[116, 116, 117, 29, 70]",1
bash,ear_full,bash-006,concept,True,3.6,2.25,2.925,1,6,0.00514,[12],"[12, 13, 12, 177, 13]",1
bash,ear_full,bash-007,concept,True,4.2,5.0,4.6,1,6,0.00731,[84],"[84, 84, 195, 85, 107]",1
bash,ear_full,bash-008,concept,True,5.0,5.0,5.0,1,6,0.0097,[65],"[196, 126, 196, 65, 66]",1
bash,ear_full,bash-009,lookup,True,3.4,4.0,3.7,1,6,0.00639,[117],"[38, 35, 39, 41, 117]",1
bash,ear_full,bash-011,concept,True,5.0,5.0,5.0,1,6,0.00848,[34],"[35, 34, 39, 29, 38]",1
bash,ear_full,bash-013,concept,True,5.0,5.0,5.0,1,6,0.00752,[43],"[44, 42, 42, 43, 39]",1
bash,ear_full,bash-010,lookup,True,5.0,5.0,5.0,1,6,0.01112,[35],"[37, 38, 35, 39, 36]",1
bash,ear_full,bash-012,lookup,True,2.6,4.5,3.55,1,6,0.00638,[42],"[42, 42, 43, 179, 17]",1
bash,ear_full,bash-014,concept,True,5.0,5.0,5.0,1,6,0.0077,[27],"[27, 27, 73, 26, 194]",1
bash,ear_full,bash-015,lookup,True,4.8,4.5,4.65,1,6,0.00588,[76],"[77, 76, 195, 145, 105]",1
bash,ear_full,bash-018,concept,True,4.4,5.0,4.7,1,6,0.00681,[31],"[31, 32, 31, 32, 33]",1
bash,ear_full,bash-017,lookup,True,4.4,4.25,4.325,1,6,0.00774,[49],"[49, 49, 48, 48, 51]",1
bash,ear_full,bash-016,concept,True,1.6,1.5,1.55,1,6,0.0065,[50],"[50, 50, 4, 41, 155]",1
